Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
24-NOV-2025,AAATECH,AAA Technologies Limited,MGO HIGH CONVICTION FUND INCORPORATED VCC SUB-FUND,BUY,885000,89.35,-
24-NOV-2025,ACC,ACC Limited,ISHARES CORE MSCI EMERGING MARKETS ETF,BUY,982442,1911.86,-
24-NOV-2025,ACUTAAS,Acutaas Chemicals Limited,ISHARES CORE MSCI EMERGING MARKETS ETF,BUY,530290,1852.12,-
24-NOV-2025,APEX,Apex Frozen Foods Limited,HRTI PRIVATE LIMITED,BUY,376237,318.73,-
24-NOV-2025,APEX,Apex Frozen Foods Limited,QE SECURITIES LLP,BUY,259322,319.88,-
24-NOV-2025,APEX,Apex Frozen Foods Limited,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,266246,326.31,-
24-NOV-2025,APEX,Apex Frozen Foods Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,367783,319.79,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,QE SECURITIES LLP,BUY,584483,874.01,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,HRTI PRIVATE LIMITED,BUY,688381,868.81,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,281962,869.29,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,SHARE INDIA SECURITIES LIMITED,BUY,483459,873.43,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,DHARMIK VITHTHALBHAI KAPURIYA,BUY,199059,889.04,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,BUY,225425,868.30,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,BUY,283617,878.42,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,1612251,872.46,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,MICROCURVES TRADING PRIVATE LIMITED,BUY,479915,870.85,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,627409,878.80,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,721337,864.06,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,MUSIGMA SECURITIES,BUY,122353,888.29,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,PACE STOCK BROKING SERVICES PVT LTD,BUY,241303,877.21,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,IRAGE BROKING SERVICES LLP,BUY,515776,874.10,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,VASUMATHI PANNALA,BUY,115913,888.62,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,KISHAN KUMAR ANIL,BUY,162129,846.91,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,GRT STRATEGIC VENTURES LLP,BUY,160369,879.52,-
24-NOV-2025,ASTRAL,Astral Limited,INTEGRATED CORE STRATEGIES (ASIA) PTE. LTD.,BUY,1538923,1473.35,-
24-NOV-2025,ATALREAL,Atal Realtech Limited,ACME CAPITAL MARKET LIMITED,BUY,626066,23.03,-
24-NOV-2025,BORANA,Borana Weaves Limited,PAD FAMILY TRUST,BUY,253188,292.00,-
24-NOV-2025,CONCOR,Container Corp of India,BNP PARIBAS FINANCIAL MARKETS,BUY,7217914,515.30,-
24-NOV-2025,FABTECH,Fabtech Technologies Ltd,ARIHANT CAPITAL MARKETS LIMITED,BUY,281094,236.83,-
24-NOV-2025,FABTECH,Fabtech Technologies Ltd,CHUNGATH KARUNAKARAN PADMA KUMAR,BUY,525000,235.00,-
24-NOV-2025,FRESHARA,Freshara Agro Exports Ltd,MUTHUKRISHNAN  DHANDAPANI,BUY,150000,149.53,-
24-NOV-2025,K2INFRA,K2 Infragen Limited,SHIVARJUN BYRAPANENI RAO,BUY,76200,70.95,-
24-NOV-2025,KTKBANK,Karnataka Bank Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,2327837,199.26,-
24-NOV-2025,KTKBANK,Karnataka Bank Limited,HRTI PRIVATE LIMITED,BUY,1878459,199.47,-
24-NOV-2025,KTKBANK,Karnataka Bank Limited,ADITYA KUMAR HALWASIYA,BUY,4500000,198.87,-
24-NOV-2025,MCLOUD,Magellanic Cloud Limited,QE SECURITIES LLP,BUY,4084335,54.92,-
24-NOV-2025,MCLOUD,Magellanic Cloud Limited,MICROCURVES TRADING PRIVATE LIMITED,BUY,3620136,55.79,-
24-NOV-2025,MCLOUD,Magellanic Cloud Limited,MATHISYS ADVISORS LLP,BUY,4956666,55.64,-
24-NOV-2025,MCLOUD,Magellanic Cloud Limited,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,4602934,55.33,-
24-NOV-2025,MCLOUD,Magellanic Cloud Limited,HRTI PRIVATE LIMITED,BUY,4370969,54.56,-
24-NOV-2025,MOKSH,Moksh Ornaments Limited,SHRENI SHARES PVT,BUY,249839,14.45,-
24-NOV-2025,NEELAM,Neelam Linens & Gar (I) L,HI GROWTH CORPORATE SERVICES PVT LTD,BUY,114000,16.91,-
24-NOV-2025,NIRMAN,Nirman Agri Gentics Ltd,BONANZA PORTFOLIO LTD,BUY,2100,59.55,-
24-NOV-2025,PAYTM,One 97 Communications Ltd,YOKE SECURITIES LTD,BUY,4207091,1260.23,-
24-NOV-2025,PAYTM,One 97 Communications Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,3244963,1260.98,-
24-NOV-2025,PRAMARA,Pramara Promotions Ltd,SHAH JAYSHREE RAJESH,BUY,94000,346.80,-
24-NOV-2025,REXPRO,Rexpro Enterprises Ltd,UNICORN FUND,BUY,154000,65.00,-
24-NOV-2025,TATAELXSI,Tata Elxsi Limited,INTEGRATED CORE STRATEGIES (ASIA) PTE. LTD.,BUY,738945,5248.59,-
24-NOV-2025,TATAELXSI,Tata Elxsi Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,386299,5256.87,-
24-NOV-2025,TDPOWERSYS,TD Power Systems Ltd.,ISHARES CORE MSCI EMERGING MARKETS ETF,BUY,968194,759.08,-
24-NOV-2025,TEAMLEASE,Teamlease Services Ltd.,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,116553,1767.35,-
24-NOV-2025,TEAMLEASE,Teamlease Services Ltd.,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,169512,1785.91,-
24-NOV-2025,VCL,Vaxtex Cotfab Limited,NIKUNJ SHAH,BUY,4142612,1.39,-
24-NOV-2025,VCL,Vaxtex Cotfab Limited,NEO APEX SHARE BROKING SERVICES LLP,BUY,2000000,1.37,-
24-NOV-2025,VCL,Vaxtex Cotfab Limited,NEO APEX VENTURE LLP,BUY,171338,1.39,-
24-NOV-2025,VCL,Vaxtex Cotfab Limited,VIVEK KANDA,BUY,1000000,1.52,-
24-NOV-2025,VCL,Vaxtex Cotfab Limited,DIVYA KANDA,BUY,2400000,1.46,-
24-NOV-2025,AAATECH,AAA Technologies Limited,ANJAY RATANLAL AGARWAL,SELL,885000,89.35,-
24-NOV-2025,APEX,Apex Frozen Foods Limited,ALPHAGREP SECURITIES PRIVATE LIMITED,SELL,266246,326.83,-
24-NOV-2025,APEX,Apex Frozen Foods Limited,QE SECURITIES LLP,SELL,253029,322.58,-
24-NOV-2025,APEX,Apex Frozen Foods Limited,HRTI PRIVATE LIMITED,SELL,342881,321.61,-
24-NOV-2025,APEX,Apex Frozen Foods Limited,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,367641,320.16,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,VASUMATHI PANNALA,SELL,115913,890.17,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,KISHAN KUMAR ANIL,SELL,177129,850.68,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,627409,879.26,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,ALPHAGREP SECURITIES PRIVATE LIMITED,SELL,721337,864.65,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,GRT STRATEGIC VENTURES LLP,SELL,160369,880.03,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,IRAGE BROKING SERVICES LLP,SELL,486948,869.90,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,QE SECURITIES LLP,SELL,604076,874.69,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,PACE STOCK BROKING SERVICES PVT LTD,SELL,241303,877.93,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,MUSIGMA SECURITIES,SELL,122353,888.87,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,281962,870.98,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,SHARE INDIA SECURITIES LIMITED,SELL,483459,869.67,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,DHARMIK VITHTHALBHAI KAPURIYA,SELL,194456,889.60,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,SELL,225425,865.72,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,MICROCURVES TRADING PRIVATE LIMITED,SELL,479915,871.55,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,HRTI PRIVATE LIMITED,SELL,637138,873.62,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,SELL,283617,881.67,-
24-NOV-2025,ASTEC,Astec LifeSciences Ltd,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,1612092,873.00,-
24-NOV-2025,ATALREAL,Atal Realtech Limited,ACME CAPITAL MARKET LIMITED,SELL,25000,23.30,-
24-NOV-2025,BORANA,Borana Weaves Limited,SBSHAH FINANCIAL PRIVATE LIMITED,SELL,141086,292.00,-
24-NOV-2025,ENRIN,Siemens Energy India Ltd,BNP PARIBAS FINANCIAL MARKETS,SELL,4310585,3163.99,-
24-NOV-2025,FABTECH,Fabtech Technologies Ltd,ARIHANT CAPITAL MARKETS LIMITED,SELL,295977,237.84,-
